BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2402	2402	2402	0	0	0
Contact period end (sample #):	5999	5999	5999	2124	2124	2124
Contact period start time (s):	2.402000	2.402000	2.402000	0.000000	0.000000	0.000000
Contact period end time (s):	5.999000	5.999000	5.999000	2.124000	2.124000	2.124000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:20:32
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	0.175380	0.074135	1.640997	11.146355	-6.139264	678.478910
0.001000	0.404262	0.303016	1.328803	10.879326	-6.062970	678.003569
0.002000	0.175380	-0.002159	2.432133	10.803032	-5.986676	678.795360
0.003000	0.060939	0.188576	1.480082	10.383416	-5.872235	679.111408
0.004000	0.137233	0.303016	2.271188	10.192681	-5.948529	677.390656
0.005000	-0.091649	0.150429	1.955627	10.001946	-5.719647	678.813367
0.006000	0.251674	0.188576	1.961158	9.696770	-5.338178	678.659579
0.007000	0.022792	0.150429	1.471951	9.277153	-5.071149	678.971760
0.008000	0.175380	0.417457	2.887326	8.781243	-5.109296	678.032596
0.009000	0.060939	0.303016	2.112138	8.628655	-4.880414	676.934915
0.010000	0.366115	0.150429	1.954319	8.132743	-4.689679	676.620438
0.011000	0.175380	0.150429	2.904055	7.942008	-4.765973	675.992623
0.012000	0.213527	0.417457	3.536110	7.560537	-4.384503	676.940437
0.013000	0.366115	0.112282	0.373205	7.522390	-4.308209	674.414571
0.014000	0.137233	0.341163	2.112588	6.835745	-3.964887	673.484635
0.015000	0.099086	0.188576	0.066392	6.721304	-3.926740	673.181879
0.016000	0.289821	0.341163	1.960647	5.996511	-3.354535	675.694023
0.017000	0.137233	0.379310	0.223580	5.653189	-3.316388	673.021894
0.018000	0.251674	0.264869	1.173584	5.462454	-3.354535	674.283195
0.019000	0.289821	0.074135	0.689293	4.928396	-2.858624	673.184102
0.020000	0.099086	0.264870	1.009257	4.699514	-2.744184	673.197546
0.021000	0.175380	0.188576	1.165303	4.279898	-2.744184	672.717310
0.022000	0.327968	0.303016	1.009273	4.279898	-2.362714	671.788997
0.023000	0.099086	0.226723	1.167438	3.974722	-2.210126	673.512832
0.024000	0.022792	0.341163	2.110318	3.478811	-2.095685	670.530462
0.025000	0.175380	0.303016	1.174111	3.516958	-1.828655	672.410136
0.026000	0.137233	0.074135	1.647491	3.326223	-1.637920	671.009058
0.027000	0.060939	0.112282	1.169180	3.059195	-1.523479	671.003348
0.028000	-0.053502	0.150429	1.646994	2.639578	-1.370892	670.998168
0.029000	0.022792	0.112282	1.013858	2.677725	-1.370892	670.531558
0.030000	0.175380	0.112282	1.799266	2.296255	-0.913128	670.696976
0.031000	0.213527	0.074135	1.637886	2.029226	-0.989422	669.443800
0.032000	0.060939	-0.040306	2.583894	1.800344	-0.874981	669.443484
0.033000	0.213527	0.188576	1.956289	1.571463	-0.607952	669.288920
0.034000	0.213527	0.493751	1.956139	1.304434	-0.417217	669.131900
0.035000	0.137233	0.074135	2.431622	1.304434	-0.455364	669.918993
0.036000	0.175380	0.074135	1.642305	1.037405	-0.073895	668.980907
0.037000	0.289821	-0.040306	0.684723	0.732229	-0.302776	670.394983
0.038000	0.137233	-0.002159	0.699513	0.655935	-0.112041	668.977984
0.039000	-0.053502	-0.040306	1.173134	0.655935	0.078693	667.871890
0.040000	0.175380	0.188576	0.382810	0.808523	-0.035748	668.512053
0.041000	0.175380	0.112282	1.173134	0.312613	0.154987	668.513482
0.042000	0.251674	0.264870	2.118796	0.579641	0.078693	667.720929
