BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	3341	3341	3341	0	0	0
Contact period end (sample #):	4493	4493	4493	3371	3371	3371
Contact period start time (s):	3.341000	3.341000	3.341000	0.000000	0.000000	0.000000
Contact period end time (s):	4.493000	4.493000	4.493000	3.371000	3.371000	3.371000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:11:31
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	0.260791	0.200572	1.581146	-2.741303	-5.528193	655.774555
0.001000	0.108203	0.086131	2.851885	-2.970185	-5.795221	655.158976
0.002000	0.146350	0.238719	2.212194	-2.932038	-5.642633	654.843542
0.003000	0.184497	0.124278	1.268967	-2.855744	-5.566339	655.002775
0.004000	0.146350	0.200572	0.632718	-3.122773	-5.680780	655.158762
0.005000	0.184497	0.047984	1.431024	-3.122773	-5.718927	654.854233
0.006000	0.260791	0.238719	2.688866	-3.122773	-5.718927	655.938368
0.007000	0.070056	0.162425	2.056179	-3.160920	-5.528193	656.426573
0.008000	0.184497	0.200572	0.636792	-3.351655	-5.871515	655.791328
0.009000	0.260791	0.391306	1.114244	-3.427949	-5.680780	656.116013
0.010000	0.031909	0.315012	1.424531	-3.542390	-5.718927	656.590052
0.011000	0.298938	0.353159	2.212705	-3.504243	-5.680780	656.269068
0.012000	0.298938	0.162425	1.101197	-3.580537	-5.757074	655.798609
0.013000	0.375232	0.238719	3.637128	-3.656831	-5.757074	655.965176
0.014000	0.184497	0.238719	1.265405	-3.885712	-5.795221	657.064754
0.015000	0.108203	0.315012	2.057652	-3.733124	-5.718927	656.756815
0.016000	0.375232	0.505747	1.908477	-3.618684	-5.757074	656.583220
0.017000	0.031909	0.276865	0.958095	-3.733124	-5.604486	658.009485
0.018000	0.031909	0.047984	2.528281	-3.847565	-5.833368	657.690813
0.019000	0.260791	0.200572	1.741219	-3.733124	-5.718927	657.222288
0.020000	0.222644	0.047984	1.425297	-3.771271	-6.024103	656.271856
0.021000	0.146350	0.276865	1.592509	-3.656831	-5.718927	658.479330
0.022000	0.031909	0.086131	0.956260	-3.809418	-5.680780	660.219229
0.023000	-0.006238	0.009837	1.425928	-3.809418	-5.871515	657.053406
0.024000	0.222644	0.315012	2.701763	-3.771271	-5.642633	658.643932
0.025000	0.031909	0.086131	0.638881	-3.809418	-5.833368	659.433783
0.026000	0.222644	0.276865	0.477035	-3.771271	-5.947809	658.962008
0.027000	0.222644	0.315012	2.682869	-3.809418	-5.871515	658.950628
0.028000	0.222644	0.315012	1.117191	-3.962006	-6.100397	659.120758
0.029000	0.260791	0.429453	1.583746	-4.000153	-5.642633	658.635338
0.030000	0.222644	0.086131	2.528612	-3.771271	-5.718927	658.802864
0.031000	0.260791	0.429453	2.053744	-3.847565	-5.871515	659.590769
0.032000	0.298938	0.200572	1.899384	-3.809418	-6.024103	658.009485
0.033000	0.108203	0.353159	2.845211	-4.267182	-5.985956	659.750696
0.034000	0.260791	-0.028310	2.217906	-4.038300	-6.214838	660.394577
0.035000	0.070056	0.124278	2.688700	-3.962006	-6.329279	659.900232
0.036000	-0.006238	0.200572	1.425762	-3.923859	-6.367426	659.902491
0.037000	0.337085	0.162425	2.062072	-3.771271	-6.710748	659.902470
0.038000	0.298938	0.124278	2.842445	-3.656831	-6.787042	659.124361
0.039000	0.451526	0.276865	2.847134	-3.885712	-6.901483	659.436901
0.040000	0.146350	0.162425	3.158352	-3.809418	-7.130365	659.432673
0.041000	0.184497	0.238719	2.686596	-3.923859	-7.321100	658.963640
