BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2749	2749	2749	0	0	0
Contact period end (sample #):	4741	4741	4741	3520	3520	3520
Contact period start time (s):	2.749000	2.749000	2.749000	0.000000	0.000000	0.000000
Contact period end time (s):	4.741000	4.741000	4.741000	3.520000	3.520000	3.520000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:27:10
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.071000	0.306615	0.210168	2.101239	-3.123254	-4.830990	656.972828
0.072000	0.306615	0.133874	2.267639	-3.085107	-4.258785	654.604148
0.073000	0.154027	0.095727	2.420557	-3.046960	-4.640255	654.289821
0.074000	0.077733	0.286462	0.835100	-3.352136	-4.525814	654.907877
0.075000	0.268468	0.324609	2.253014	-3.352136	-4.869137	654.916677
0.076000	0.230321	-0.056860	2.416380	-3.275842	-4.640255	655.233239
0.077000	0.268468	0.210168	0.993173	-3.313989	-4.602108	655.073478
0.078000	0.077734	0.286462	1.937108	-3.237695	-4.563961	656.804652
0.079000	0.344762	0.133874	2.096323	-3.199548	-4.563961	656.335263
0.080000	0.154027	-0.056860	1.943255	-3.275842	-4.640255	656.808996
0.081000	0.115880	0.057580	1.297928	-3.352136	-4.754696	657.744944
0.082000	0.230321	0.324609	0.998043	-3.237695	-4.449520	656.802175
0.083000	0.077733	0.515344	1.467441	-3.237695	-4.411373	656.169014
0.084000	0.192174	0.057580	2.095377	-3.352136	-4.449520	655.702735
0.085000	0.268468	0.172021	1.615924	-3.352136	-4.525814	657.277698
0.086000	0.154027	0.210168	1.457670	-3.237695	-4.525814	657.425224
0.087000	0.192174	0.248315	2.565209	-3.237695	-4.220638	657.751266
0.088000	0.115880	0.133874	2.251091	-3.199548	-4.296932	657.752556
0.089000	0.459203	0.248315	1.618239	-3.237695	-4.068051	657.428162
0.090000	0.001440	0.172021	0.996797	-3.352136	-4.487667	657.897687
0.091000	0.344762	0.210168	2.566336	-3.352136	-4.373226	657.273944
0.092000	0.192174	0.324609	2.252849	-3.161401	-4.258785	657.902560
0.093000	0.344762	0.095727	2.258034	-3.428429	-4.029904	656.957049
0.094000	0.268468	0.210168	1.942293	-3.466576	-4.411373	657.744438
0.095000	0.268468	0.210168	1.308329	-3.466576	-4.411373	656.805710
0.096000	0.306615	0.439050	1.306675	-3.504723	-4.182491	656.798406
0.097000	0.306615	0.172021	1.622763	-3.390283	-4.373226	656.637051
0.098000	0.039587	0.133874	2.886497	-3.123254	-4.106197	656.161346
0.099000	0.077734	-0.171301	1.304421	-2.970666	-4.258785	657.104591
0.100000	0.039587	0.248315	1.304587	-3.313989	-4.182491	656.325655
0.101000	0.192174	0.362756	1.934673	-3.161401	-4.411373	657.112241
0.102000	0.192174	0.095727	1.307637	-3.008813	-4.258785	657.578043
0.103000	0.154027	0.210168	1.626671	-3.161401	-4.411373	656.791132
0.104000	0.344762	0.210168	1.937889	-3.046960	-4.182491	656.004855
0.105000	0.306615	0.210168	2.411133	-3.046960	-4.106197	656.476783
0.106000	0.154027	0.286462	2.250249	-2.818078	-4.449520	656.478951
0.107000	0.306615	0.286462	1.938866	-2.779931	-4.106197	656.476330
0.108000	0.459203	-0.018713	1.781889	-2.818078	-4.029903	656.776993
0.109000	0.077734	0.248315	2.251376	-2.703637	-4.144344	656.778617
0.110000	0.268468	0.248315	1.312388	-2.741784	-3.991756	656.478106
0.111000	0.230321	0.324609	2.093738	-2.779931	-4.106197	656.468346
0.112000	0.154027	0.172021	0.205976	-2.627343	-4.373226	655.515223
0.113000	0.230321	-0.133154	2.097977	-2.703637	-4.220638	656.305685
0.114000	0.039586	0.439050	2.101585	-2.436608	-4.106197	656.313321
0.115000	0.192174	0.210168	0.676935	-2.627343	-4.449520	653.952261
0.116000	0.421056	0.210168	2.405752	-2.627343	-4.335079	655.844301
0.117000	0.115880	0.286462	3.196934	-2.627343	-4.182491	655.672508
0.118000	0.268468	0.210168	2.404444	-2.589196	-4.296932	656.458920
0.119000	0.382909	0.286462	2.089664	-2.398461	-4.525814	655.844950
0.120000	0.192174	0.286462	0.361810	-2.398461	-4.335079	654.268672
0.121000	0.077734	0.133874	2.254472	-2.207726	-4.258785	655.043583
0.122000	0.268468	0.172021	1.465802	-2.589196	-4.296932	656.147720
0.123000	0.039587	0.057580	2.093573	-2.398461	-4.029903	655.054935
0.124000	0.344762	0.324609	1.619051	-2.436608	-4.335079	654.423584
0.125000	0.077733	0.057580	2.885189	-2.512902	-4.182491	655.210497
0.126000	0.306615	0.286462	1.781889	-2.512902	-4.335079	656.005007
0.127000	0.192174	0.133874	1.306660	-2.322167	-4.068050	654.579094
0.128000	0.115880	0.133874	1.305052	-2.322167	-4.525814	653.953568
0.129000	0.154027	0.133874	1.300617	-2.703637	-4.296932	655.844437
