BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	3120	3120	3120	0	0	0
Contact period end (sample #):	5041	5041	5041	4069	4069	4069
Contact period start time (s):	3.120000	3.120000	3.120000	0.000000	0.000000	0.000000
Contact period end time (s):	5.041000	5.041000	5.041000	4.069000	4.069000	4.069000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  10:59:56
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	0.228882	0.361797	1.861337	5.802178	-2.381666	653.513203
0.001000	0.076294	0.132915	1.705954	5.687737	-2.381666	652.901663
0.002000	0.267029	0.361797	2.170405	5.764031	-2.190931	653.221340
0.003000	0.190735	0.285503	2.485727	5.802178	-2.305372	652.891283
0.004000	0.305176	0.247356	0.761419	5.725884	-2.229078	651.644083
0.005000	0.305176	0.285503	2.484750	5.840325	-2.190931	653.366625
0.006000	0.267029	0.247356	1.063662	5.573296	-2.114637	652.890930
0.007000	0.076294	0.132915	1.064174	5.535149	-2.076490	652.106464
0.008000	0.152588	0.285503	2.013113	5.497002	-2.114637	653.522608
0.009000	0.267029	0.209209	2.339136	5.306267	-1.923903	653.201632
0.010000	0.152588	0.171062	0.754249	5.115532	-2.000196	652.570250
0.011000	0.190735	0.209209	2.807661	5.153679	-1.695021	653.211559
0.012000	0.152588	0.018474	1.705096	5.229974	-1.542433	653.676012
0.013000	0.190735	0.171062	2.808969	4.962944	-1.389845	650.360165
0.014000	0.190735	0.285503	1.066097	5.001092	-1.160963	651.785482
0.015000	0.228882	0.171062	2.174659	5.077386	-1.160963	651.947493
0.016000	0.114441	0.323650	1.858060	5.382561	-1.122816	651.939495
0.017000	0.114441	0.399944	2.332132	5.229974	-1.237257	652.710354
0.018000	0.190735	0.247356	2.175952	5.191827	-1.046522	651.766603
0.019000	0.190735	0.399944	2.173982	5.420708	-0.970228	651.608175
0.020000	0.114441	0.438091	1.859699	5.382561	-0.970228	650.668310
0.021000	0.152588	0.399944	2.024072	5.077386	-0.741346	651.761572
0.022000	0.152588	0.171062	2.494308	5.268121	-0.626905	650.818666
0.023000	0.228882	0.247356	1.397202	5.458855	-0.398024	650.973675
0.024000	0.228882	0.094768	2.810892	5.458855	-0.359877	651.599209
0.025000	0.343323	0.285503	2.174494	5.382561	-0.207289	651.589603
0.026000	0.000000	0.247356	2.965314	5.382561	-0.092848	651.270267
0.027000	0.305176	0.247356	2.173186	5.497002	0.250475	650.335333
0.028000	0.114441	0.361797	0.432795	5.458855	0.479357	649.225965
0.029000	-0.038147	0.056621	2.016390	5.344414	0.479357	650.014988
0.030000	0.190735	0.132915	0.917929	5.458855	0.860826	649.063137
0.031000	0.190735	0.171062	1.705323	5.229974	0.860826	648.580906
0.032000	0.114441	0.209209	0.758203	5.153680	1.280443	647.953426
0.033000	0.381470	0.056621	2.183302	5.191827	1.433031	648.429768
0.034000	0.152588	0.285503	2.176417	5.268121	1.318590	648.114828
0.035000	0.190735	0.171062	2.495166	4.886651	1.700060	648.106174
0.036000	0.305176	0.209209	0.915510	5.077386	1.890795	647.320248
0.037000	0.267029	0.285503	2.337663	5.039239	1.776354	646.059937
0.038000	0.000000	0.285503	1.861007	5.039239	2.157824	647.323002
0.039000	0.190735	0.171062	1.547173	4.810357	1.928942	647.317343
0.040000	0.152588	0.285503	1.704480	5.153680	2.272264	645.910271
0.041000	0.076294	0.361797	1.393759	5.153680	2.005236	645.119808
0.042000	0.267029	0.209209	1.076695	5.115533	1.928942	646.053104
