BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2766	2766	2766	0	0	0
Contact period end (sample #):	3850	3850	3850	3692	3692	3692
Contact period start time (s):	2.766000	2.766000	2.766000	0.000000	0.000000	0.000000
Contact period end time (s):	3.850000	3.850000	3.850000	3.692000	3.692000	3.692000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:04:51
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	0.432572	-0.045105	2.108561	-3.827173	-2.022749	670.101589
0.001000	0.356278	0.145630	1.800094	-3.827173	-2.785688	669.327194
0.002000	0.089250	0.031189	1.160133	-3.865320	-4.082685	670.441446
0.003000	0.127397	0.221924	1.011408	-4.017908	-4.731184	669.975327
0.004000	0.203691	0.031189	1.478490	-4.323084	-5.150801	669.972712
0.005000	0.203691	0.183777	1.640021	-4.361231	-5.799299	670.289654
0.006000	0.165544	0.260071	2.277458	-4.323084	-6.257063	671.407619
0.007000	0.203691	0.145630	1.799974	-4.590112	-6.562239	668.567598
0.008000	0.127397	0.260071	1.482217	-4.704553	-6.791121	670.466301
0.009000	0.127397	0.107483	2.432945	-5.162317	-7.058149	670.787283
0.010000	0.165544	0.298218	0.851335	-4.666406	-7.210737	669.833160
0.011000	0.279984	0.031189	1.640878	-4.742700	-7.134443	670.461281
0.012000	0.203691	0.260071	1.794397	-4.284937	-6.981855	669.507330
0.013000	0.241838	0.069336	1.952381	-4.056055	-6.867414	669.348701
0.014000	0.165544	0.298218	2.275473	-3.560144	-6.485945	669.803432
0.015000	-0.025191	0.221924	2.273234	-3.102381	-6.066328	669.315437
0.016000	0.203691	0.260071	0.861617	-2.377588	-5.799299	668.521057
0.017000	-0.025191	0.260071	2.430526	-1.843531	-5.303389	670.091982
0.018000	0.089250	0.412659	0.697982	-1.538355	-4.845625	668.652714
0.019000	0.127397	0.031189	1.800094	-1.004297	-4.349714	668.326387
0.020000	-0.177779	-0.006958	1.955146	-0.432093	-3.891951	668.309690
0.021000	0.165544	0.145630	1.796216	-0.012476	-3.396040	667.670965
0.022000	0.012956	0.183777	1.329299	0.368994	-3.014570	666.085958
0.023000	0.051103	0.221924	1.010281	0.636023	-2.556807	666.229502
0.024000	0.279984	0.107483	0.863886	1.246374	-2.289778	666.697542
0.025000	0.279984	0.145630	1.797224	1.284521	-2.175337	667.000465
0.026000	0.089250	0.145630	1.797328	1.589697	-2.022749	666.833710
0.027000	0.165544	0.298218	1.475094	1.818578	-2.022749	666.996113
0.028000	0.241838	0.145630	1.952546	2.009313	-2.175337	666.682270
0.029000	0.089250	0.145630	1.330607	2.276342	-2.366072	666.822372
0.030000	0.012956	0.107483	3.066309	2.428930	-2.747541	666.049780
0.031000	0.165544	0.069336	1.801401	2.352636	-3.243452	666.828423
0.032000	0.203691	0.260071	1.006388	2.314489	-3.319746	666.831823
0.033000	0.127397	0.298218	1.959220	2.200048	-4.082685	666.840462
0.034000	-0.139632	0.145630	2.588448	2.123754	-4.693037	666.202223
0.035000	0.127397	0.145630	1.485764	2.047460	-4.616743	666.054659
0.036000	0.089250	0.374512	0.856070	1.856725	-5.150801	665.897009
0.037000	0.279984	0.145630	1.332230	1.627844	-5.532270	666.224463
0.038000	0.203691	0.145630	1.801055	1.437109	-5.913740	666.542694
0.039000	0.165544	0.221924	1.320821	1.093786	-5.913740	666.066015
0.040000	0.318131	0.260071	0.845007	1.208227	-5.951887	665.276007
0.041000	0.203691	0.183777	1.959220	0.903051	-6.066328	666.534369
