BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2903	2903	2903	0	0	0
Contact period end (sample #):	5536	5536	5536	3675	3675	3675
Contact period start time (s):	2.903000	2.903000	2.903000	0.000000	0.000000	0.000000
Contact period end time (s):	5.536000	5.536000	5.536000	3.675000	3.675000	3.675000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:20:03
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	0.097167	0.201051	2.725532	-4.295253	-6.296410	657.428618
0.001000	-0.017274	0.239198	2.567036	-4.485988	-6.601586	659.317358
0.002000	0.173460	0.391786	1.459828	-4.333400	-6.220116	658.377858
0.003000	0.211607	0.086611	1.934411	-4.371547	-6.487145	658.215045
0.004000	0.249754	0.201051	2.409113	-4.638576	-6.525292	658.685509
0.005000	0.135314	0.391787	2.099504	-4.485988	-6.410851	659.787223
0.006000	0.173460	0.124758	0.836131	-4.562282	-6.410851	658.843973
0.007000	0.211607	0.277345	1.318515	-4.524135	-6.525292	658.844123
0.008000	0.097167	0.239199	2.409098	-4.257106	-6.525292	659.935127
0.009000	0.402342	0.162905	1.309856	-4.371547	-6.258263	660.108513
0.010000	0.097167	0.048464	1.942197	-4.371547	-6.372704	660.105408
0.011000	0.097167	0.124758	2.101488	-4.409694	-6.220116	659.777938
0.012000	0.135314	0.239199	1.938469	-4.485988	-6.105676	660.101027
0.013000	0.135314	-0.065977	1.776577	-4.600429	-6.296410	659.308458
0.014000	0.173460	0.353639	1.617977	-4.524135	-6.448998	661.510559
0.015000	0.211607	0.048464	1.622051	-4.447841	-6.181970	657.724562
0.016000	0.097167	0.239198	0.833861	-4.524135	-6.296410	660.721205
0.017000	0.020873	0.353639	1.459813	-4.524135	-6.067529	660.412107
0.018000	0.211607	0.162905	1.471237	-4.447841	-6.181970	659.935557
0.019000	-0.017274	0.201051	2.258796	-4.524135	-6.258263	661.356485
0.020000	0.326048	0.239199	1.148414	-4.485988	-6.105676	661.662492
0.021000	0.173460	0.086611	1.781943	-4.676723	-6.334557	660.719226
0.022000	0.364195	0.201051	2.260615	-4.638576	-6.105676	660.548944
0.023000	0.287901	0.124758	1.619797	-4.600429	-6.143823	661.192848
0.024000	0.097167	0.162905	3.041769	-4.676723	-6.105676	661.188745
0.025000	0.249754	0.277345	0.366448	-4.485988	-5.953088	661.972069
0.026000	0.097167	0.086611	3.207058	-4.714870	-6.067529	661.191365
0.027000	0.173460	0.086611	2.573425	-4.714870	-6.258263	661.022369
0.028000	0.440489	0.124758	2.413337	-4.524135	-6.258263	660.875264
0.029000	0.173460	0.048464	2.418868	-4.638576	-6.296410	659.914656
0.030000	0.211607	0.201051	1.938485	-4.676723	-6.181970	661.032917
0.031000	0.478636	0.315493	3.991339	-4.753017	-6.334557	661.032255
0.032000	0.135314	0.124758	2.263561	-4.753017	-6.220116	660.873475
0.033000	0.173460	0.277346	2.892097	-4.638576	-6.448998	662.129270
0.034000	0.211607	0.162905	2.111890	-4.714870	-6.487145	661.349994
0.035000	0.287901	0.124758	1.469418	-4.600429	-6.716027	661.655221
0.036000	0.173460	0.239198	1.464067	-4.600429	-6.563439	660.546521
0.037000	0.402342	0.048464	1.307706	-4.829311	-6.525292	661.967914
0.038000	0.135314	0.353639	0.528341	-4.447841	-6.563439	661.965461
0.039000	0.173460	0.391786	1.161131	-4.676723	-6.601586	662.276163
0.040000	0.211607	0.124758	1.784378	-4.524135	-6.448998	661.803273
0.041000	0.249754	0.010317	1.943504	-4.676723	-6.220116	660.393412
