BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2573	2573	2573	0	0	0
Contact period end (sample #):	5587	5587	5587	3448	3448	3448
Contact period start time (s):	2.573000	2.573000	2.573000	0.000000	0.000000	0.000000
Contact period end time (s):	5.587000	5.587000	5.587000	3.448000	3.448000	3.448000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:27:31
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.069000	-0.049423	0.162425	0.531845	-3.733365	-8.239507	650.746893
0.070000	0.141312	-0.028310	0.695030	-3.924099	-8.353948	647.595622
0.071000	-0.011276	-0.066457	0.222701	-3.809659	-8.506536	647.429358
0.072000	-0.011276	0.009837	-0.724946	-3.657071	-8.201360	650.431593
0.073000	-0.011276	0.200572	0.548620	-3.657071	-8.544683	648.525890
0.074000	0.179459	0.009837	0.535407	-3.580777	-8.315801	648.997849
0.075000	-0.125717	-0.104604	0.687333	-3.580777	-8.277654	649.328753
0.076000	-0.011276	0.009837	0.383631	-3.161160	-8.315801	647.262527
0.077000	0.103165	0.124278	1.165328	-3.542630	-8.620976	646.789095
0.078000	0.065018	-0.028310	0.698757	-3.428189	-8.430242	647.109925
0.079000	-0.011276	0.047984	0.226144	-3.237454	-8.201360	645.842611
0.080000	0.026871	0.162425	-0.411547	-3.275601	-8.277654	647.898958
0.081000	-0.087570	0.009837	1.169717	-3.237454	-8.201360	645.529168
0.082000	-0.202011	-0.028310	-0.095491	-3.237454	-8.353948	645.995098
0.083000	0.065018	-0.142751	0.526929	-3.313748	-8.468389	645.370388
0.084000	-0.049423	0.009837	0.852952	-3.390042	-8.392095	644.422749
0.085000	-0.011276	0.047984	0.535738	-3.161160	-8.239507	644.583485
0.086000	-0.011276	0.162425	1.013025	-3.390042	-8.201360	643.776263
0.087000	-0.049423	0.009837	-0.561069	-3.351895	-8.392095	642.519191
0.088000	0.217606	0.086131	-0.096602	-3.313748	-8.315801	642.674450
0.089000	0.179459	0.124278	0.058901	-3.084866	-8.277654	642.352661
0.090000	0.065018	0.047984	0.064432	-3.237454	-8.430242	641.419010
0.091000	-0.087570	-0.028310	1.012244	-3.199307	-8.315801	641.721146
0.092000	-0.049423	0.162425	0.688806	-3.008572	-8.392095	640.936659
0.093000	0.179459	0.047984	0.379723	-2.894131	-8.430242	640.138713
0.094000	-0.049423	-0.104604	0.059066	-2.398221	-8.392095	642.185800
0.095000	-0.202011	0.086131	-0.099203	-2.398221	-8.010625	641.874434
0.096000	0.065018	0.162425	0.377739	-1.978604	-7.896184	641.387536
0.097000	0.065018	0.276865	0.854410	-1.673429	-7.514714	641.387536
